Id,Name
01tg700000hnag5AAA,PrecisionBeam+ Laser Cutting System
01tg700000hnag6AAA,PrecisionBeam+ 1530 Machine Frame
01tg700000hnag7AAA,PrecisionBeam+ 2040 Machine Frame
01tg700000hnag8AAA,PrecisionBeam+ 2060 Machine Frame
01tg700000hnag9AAA,4 kW Fiber Laser Source Module
01tg700000hnagAAAQ,10 kW Fiber Laser Source Module
01tg700000hnagBAAQ,15 kW Fiber Laser Source Module
01tg700000hnagCAAQ,Compact Server Automation Module
01tg700000hnagDAAQ,Nitrogen Assist Gas Subscription
01tg700000hnagEAAQ,PrecisionBeam+ Installation Service
01tg700000hnagFAAQ,PrecisionBeam+ Maintenance Plan
01tg700000hnagGAAQ,Extended Warranty (PrecisionBeam+)
01tg700000hnagHAAQ,PrecisionCut CAD/CAM Software
01tg700000hnagIAAQ,Remote Monitoring Platform
