Id,Name
01tg700000hnaftAAA,VELPACK G1 Packaging System
01tg700000hnafuAAA,VELPACK G1 Base Machine
01tg700000hnafvAAA,Track & Trace Module — Standard
01tg700000hnafwAAA,Track & Trace Module — Professional
01tg700000hnafxAAA,Pharma Film Alu-PVC
01tg700000hnafyAAA,Pharma Film Cold-Form (Alu-Alu)
01tg700000hnafzAAA,Pharma Film Child-Resistant
01tg700000hnag0AAA,VELPACK Installation Service
01tg700000hnag1AAA,VELPACK Maintenance — Standard
01tg700000hnag2AAA,VELPACK Maintenance — Premium
01tg700000hnag3AAA,Extended Warranty (VELPACK G1)
01tg700000hnag4AAA,VelPackMgr Batch Control Software
