DependencyScope,DependsOnStepDefinition.Name,FulfillmentStepDefinition.Name,IsCompensateInReverse,Name,PropagateStateToDependentStep
Plan,VEL Post Advance Invoice,VEL Schedule Production,false,VEL Advance to Production,
Plan,VEL Post Advance Invoice,VEL Site Survey,false,VEL Advance to Survey,
Plan,VEL Schedule Production,VEL Machine Assembly,false,VEL Schedule to Assembly,
Plan,VEL Machine Assembly,VEL Factory Acceptance Test,false,VEL Assembly to FAT,
Plan,VEL Factory Acceptance Test,VEL Arrange Freight,false,VEL FAT to Freight,
Plan,VEL Arrange Freight,VEL Confirm Delivery Date,false,VEL Freight to Delivery,
Plan,VEL Confirm Delivery Date,VEL On-Site Installation,false,VEL Delivery to Install,
Plan,VEL Site Survey,VEL On-Site Installation,false,VEL Survey to Install,
Plan,VEL On-Site Installation,VEL Commissioning & Calibration,false,VEL Install to Commission,
Plan,VEL Commissioning & Calibration,VEL Process Final Invoice,false,VEL Commission to Invoice,
Plan,VEL Process Final Invoice,VEL Receive Payment,false,VEL Invoice to Payment,
Plan,VEL Commissioning & Calibration,VEL Register Warranty,false,VEL Commission to Warranty,
Plan,VEL Commissioning & Calibration,VEL Activate Software License,false,VEL Commission to Software,
Plan,VEL Commissioning & Calibration,VEL Create Service Contract,false,VEL Commission to Svc Contract,
