DestinationProduct.StockKeepingUnit,Name,Priority,SourceProduct.StockKeepingUnit,SourceProductClassification.Name
VEL-DRO-BILL,VEL VELPACK G1 to Finance,,VEL-PACK-G1-BDL,
VEL-DRO-MFG,VEL VELPACK G1 to Manufacturing,,VEL-PACK-G1-BDL,
VEL-DRO-LOGIS,VEL VELPACK G1 to Logistics,,VEL-PACK-G1-BDL,
VEL-DRO-INST,VEL PKG Install to Installation,,VEL-SRV-INSTALL-PKG,
VEL-DRO-BILL,VEL PKG Install to Finance,,VEL-SRV-INSTALL-PKG,
VEL-DRO-SVCACT,VEL PKG Maintenance to Service Activation,,VEL-SRV-MAINT-PKG,
VEL-DRO-SVCACT,VEL PKG Premium Maintenance to Service Activation,,VEL-SRV-MAINT-PKG-PREM,
VEL-DRO-SVCACT,VEL PKG Software to Service Activation,,VEL-SW-PACK-MGR,
VEL-DRO-BILL,VEL PrecisionBeam to Finance,,VEL-LSR-BDL,
VEL-DRO-MFG,VEL PrecisionBeam to Manufacturing,,VEL-LSR-BDL,
VEL-DRO-LOGIS,VEL PrecisionBeam to Logistics,,VEL-LSR-BDL,
VEL-DRO-INST,VEL LSR Install to Installation,,VEL-SRV-INSTALL-LSR,
VEL-DRO-BILL,VEL LSR Install to Finance,,VEL-SRV-INSTALL-LSR,
VEL-DRO-SVCACT,VEL LSR Maintenance to Service Activation,,VEL-SRV-MAINT-LSR,
VEL-DRO-SVCACT,VEL CAD/CAM to Service Activation,,VEL-SW-LSR-CAD,
VEL-DRO-BILL,VEL STP Sterilizer to Finance,,VEL-STP-BDL,
VEL-DRO-MFG,VEL STP Sterilizer to Manufacturing,,VEL-STP-BDL,
VEL-DRO-LOGIS,VEL STP Sterilizer to Logistics,,VEL-STP-BDL,
VEL-DRO-INST,VEL STP Install to Installation,,VEL-STP-SVC-INST,
VEL-DRO-BILL,VEL STP Install to Finance,,VEL-STP-SVC-INST,
VEL-DRO-BILL,VEL STP Cert to Finance,,VEL-STP-CERT-PVC,
VEL-DRO-SVCACT,VEL STP CtrlSW to Service Activation,,VEL-STP-CTRL-SW,
VEL-DRO-SVCACT,VEL STP FMM to Service Activation,,VEL-STP-CTRL-FMM,
VEL-DRO-SVCACT,VEL STP Maint Std to Service Activation,,VEL-STP-SRV-MAINT-STD,
VEL-DRO-SVCACT,VEL STP Maint Prem to Service Activation,,VEL-STP-SRV-MAINT-PREM,
VEL-DRO-MAINT,VEL PKG Maint Std to Svc Contract,,VEL-SRV-MAINT-PKG,
VEL-DRO-MAINT,VEL PKG Maint Prem to Svc Contract,,VEL-SRV-MAINT-PKG-PREM,
VEL-DRO-MAINT,VEL LSR Maint to Svc Contract,,VEL-SRV-MAINT-LSR,
VEL-DRO-MAINT,VEL PKG Warranty to Svc Contract,,VEL-SRV-WARRANTY-PKG,
VEL-DRO-MAINT,VEL LSR Warranty to Svc Contract,,VEL-SRV-WARRANTY-LSR,
VEL-DRO-MAINT,VEL STP Maint Std to Svc Contract,,VEL-STP-SRV-MAINT-STD,
VEL-DRO-MAINT,VEL STP Maint Prem to Svc Contract,,VEL-STP-SRV-MAINT-PREM,
