$$AttributeCategory.Code$AttributeDefinition.Code,AttributeCategory.Code,AttributeDefinition.Code
VEL_PKG_SPECS;ATTR-VEL-PKG-CFG,VEL_PKG_SPECS,ATTR-VEL-PKG-CFG
VEL_PKG_SPECS;ATTR-VEL-COMPLIANCE,VEL_PKG_SPECS,ATTR-VEL-COMPLIANCE
VEL_PKG_SPECS;ATTR-VEL-CAPACITY,VEL_PKG_SPECS,ATTR-VEL-CAPACITY
VEL_LSR_SPECS;ATTR-VEL-SIZE,VEL_LSR_SPECS,ATTR-VEL-SIZE
VEL_LSR_SPECS;ATTR-VEL-POWER,VEL_LSR_SPECS,ATTR-VEL-POWER
VEL_STP_SPECS;ATTR-VEL-STP-WIDTH,VEL_STP_SPECS,ATTR-VEL-STP-WIDTH
VEL_STP_SPECS;ATTR-VEL-STP-HEIGHT,VEL_STP_SPECS,ATTR-VEL-STP-HEIGHT
VEL_STP_SPECS;ATTR-VEL-STP-DEPTH,VEL_STP_SPECS,ATTR-VEL-STP-DEPTH
VEL_STP_SPECS;ATTR-VEL-STP-SECTION,VEL_STP_SPECS,ATTR-VEL-STP-SECTION
VEL_STP_SPECS;ATTR-VEL-STP-VOLUME,VEL_STP_SPECS,ATTR-VEL-STP-VOLUME
VEL_STP_DOOR_CFG;ATTR-VEL-STP-DOOR-TYPE,VEL_STP_DOOR_CFG,ATTR-VEL-STP-DOOR-TYPE
VEL_STP_DOOR_CFG;ATTR-VEL-STP-DW,VEL_STP_DOOR_CFG,ATTR-VEL-STP-DW
VEL_STP_DOOR_CFG;ATTR-VEL-STP-DH,VEL_STP_DOOR_CFG,ATTR-VEL-STP-DH
VEL_STP_DOOR_CFG;ATTR-VEL-STP-DOOR-SIDE,VEL_STP_DOOR_CFG,ATTR-VEL-STP-DOOR-SIDE
VEL_STP_PROC_PARAMS;ATTR-VEL-STP-NUM-DOORS,VEL_STP_PROC_PARAMS,ATTR-VEL-STP-NUM-DOORS
VEL_STP_PROC_PARAMS;ATTR-VEL-STP-POWER,VEL_STP_PROC_PARAMS,ATTR-VEL-STP-POWER
VEL_STP_PROC_PARAMS;ATTR-VEL-STP-COMP,VEL_STP_PROC_PARAMS,ATTR-VEL-STP-COMP
VEL_STP_PROC_PARAMS;ATTR-VEL-STP-TEMP,VEL_STP_PROC_PARAMS,ATTR-VEL-STP-TEMP
