Code,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Name,SourceSystemIdentifier,UnitOfMeasure.UnitCode,ValueDescription
ATTR-VEL-PKG-CFG,Picklist,,Standard,Selects the packaging automation configuration affecting throughput,ATTR_VEL_PKG_CFG,true,true,Packaging Configuration,Packaging Configuration,VEL_PackagingConfig,,,
ATTR-VEL-COMPLIANCE,Picklist,,Standard,Regulatory compliance standard required by the customer,ATTR_VEL_COMPLIANCE,true,true,Regulatory Compliance,Regulatory Compliance,VEL_Compliance,,,
ATTR-VEL-CAPACITY,Number,,,Estimated annual blister capacity computed from packaging configuration (formula — set by CML),ATTR_VEL_CAPACITY,true,false,Est. Annual Capacity (Blisters/yr),Est. Annual Capacity (Blisters/yr),,,blisters/yr,Read-only computed value derived from Packaging Configuration
ATTR-VEL-SIZE,Picklist,,,Machine frame size for the PrecisionBeam+ laser cutter,ATTR_VEL_SIZE,true,true,Machine Size,Machine Size,VEL_MachineSize,,,
ATTR-VEL-POWER,Picklist,,,Fiber laser source power rating,ATTR_VEL_POWER,true,true,Laser Power,Laser Power,VEL_LaserPower,,,
ATTR-VEL-STP-WIDTH,Picklist,,800,Internal sterilizer chamber width dimension,ATTR_VEL_STP_WIDTH,true,true,Chamber Width,Chamber Width,VEL_STP_ChamberWidth,,,
ATTR-VEL-STP-HEIGHT,Picklist,,800,Internal sterilizer chamber height dimension,ATTR_VEL_STP_HEIGHT,true,true,Chamber Height,Chamber Height,VEL_STP_ChamberHeight,,,
ATTR-VEL-STP-DEPTH,Picklist,,1000,Internal sterilizer chamber depth dimension,ATTR_VEL_STP_DEPTH,true,true,Chamber Depth,Chamber Depth,VEL_STP_ChamberDepth,,,
ATTR-VEL-STP-DOOR-TYPE,Picklist,,Motorized Horizontal,Door movement mechanism for the sterilizer chamber,ATTR_VEL_STP_DOOR_TYPE,true,true,Door Type,Door Type,VEL_STP_DoorType,,,
ATTR-VEL-STP-NUM-DOORS,Picklist,,Single Door,Number of sterilizer chamber access doors,ATTR_VEL_STP_NUM_DOORS,true,false,STP Door Configuration,STP Door Configuration,VEL_STP_NumDoors,,,
ATTR-VEL-STP-POWER,Picklist,,400V 3-phase 50Hz (EU/INT),Electrical power supply configuration,ATTR_VEL_STP_POWER,true,true,Power Supply,Power Supply,VEL_STP_PowerSupply,,,
ATTR-VEL-STP-SECTION,Picklist,,Square,Cross-section shape of the sterilizer chamber,ATTR_VEL_STP_SECTION,true,false,Chamber Section,Chamber Section,VEL_STP_ChamberSection,,,
ATTR-VEL-STP-COMP,Picklist,,PED 2014/68/EU,Regulatory and certification standard for the pressure vessel,ATTR_VEL_STP_COMP,true,false,Compliance Standard,Compliance Standard,VEL_STP_ComplianceStd,,,
ATTR-VEL-STP-VOLUME,Number,,,Nominal sterilizer chamber volume in liters,ATTR_VEL_STP_VOLUME,true,false,Chamber Volume (L),Chamber Volume (L),,,L,
ATTR-VEL-STP-TEMP,Text,,121°C / 134°C,Sterilization temperature range,ATTR_VEL_STP_TEMP,true,false,Sterilization Temperature,Sterilization Temperature,,,,
ATTR-VEL-STP-DW,Picklist,,,Door opening width in millimeters,ATTR_VEL_STP_DW,true,true,Door Width,Door Width,VEL_STP_DoorWidth,,,
ATTR-VEL-STP-DH,Picklist,,,Door opening height in millimeters,ATTR_VEL_STP_DH,true,true,Door Height,Door Height,VEL_STP_DoorHeight,,,
ATTR-VEL-STP-DOOR-SIDE,Picklist,,Side 1 (Loading),Side of the sterilizer where the door is installed,ATTR_VEL_STP_DOOR_SIDE,true,true,Installation Side,Installation Side,VEL_STP_DoorSide,,,
