DataType,Description,Name,Code,Status,UnitOfMeasure.UnitCode
Text,,VEL_PackagingConfig,VEL_PackagingConfig,Active,
Text,,VEL_Compliance,VEL_Compliance,Active,
Text,,VEL_MachineSize,VEL_MachineSize,Active,
Text,,VEL_LaserPower,VEL_LaserPower,Active,
Text,,VEL_STP_ChamberWidth,VEL_STP_ChamberWidth,Active,
Text,,VEL_STP_ChamberHeight,VEL_STP_ChamberHeight,Active,
Text,,VEL_STP_ChamberDepth,VEL_STP_ChamberDepth,Active,
Text,,VEL_STP_DoorType,VEL_STP_DoorType,Active,
Text,,VEL_STP_NumDoors,VEL_STP_NumDoors,Active,
Text,,VEL_STP_ChamberSection,VEL_STP_ChamberSection,Active,
Text,,VEL_STP_ComplianceStd,VEL_STP_ComplianceStd,Active,
Text,,VEL_STP_PowerSupply,VEL_STP_PowerSupply,Active,
Text,,VEL_STP_DoorSide,VEL_STP_DoorSide,Active,
Text,,VEL_STP_DoorWidth,VEL_STP_DoorWidth,Active,
Text,,VEL_STP_DoorHeight,VEL_STP_DoorHeight,Active,
