Abbreviation,Code,DisplayValue,IsDefault,Name,Picklist.Name,Sequence,Status,Value
,VEL_STP_W450,450 mm,false,450mm Width,VEL_STP_ChamberWidth,1,Active,450
,VEL_STP_W660,660 mm,false,660mm Width,VEL_STP_ChamberWidth,2,Active,660
,VEL_STP_W800,800 mm,true,800mm Width,VEL_STP_ChamberWidth,3,Active,800
,VEL_STP_W1000,1000 mm,false,1000mm Width,VEL_STP_ChamberWidth,4,Active,1000
,VEL_STP_W1250,1250 mm,false,1250mm Width,VEL_STP_ChamberWidth,5,Active,1250
,VEL_STP_H450,450 mm,false,450mm Height,VEL_STP_ChamberHeight,1,Active,450
,VEL_STP_H660,660 mm,false,660mm Height,VEL_STP_ChamberHeight,2,Active,660
,VEL_STP_H800,800 mm,true,800mm Height,VEL_STP_ChamberHeight,3,Active,800
,VEL_STP_H950,950 mm,false,950mm Height,VEL_STP_ChamberHeight,4,Active,950
,VEL_STP_H1000,1000 mm,false,1000mm Height,VEL_STP_ChamberHeight,5,Active,1000
,VEL_STP_H1250,1250 mm,false,1250mm Height,VEL_STP_ChamberHeight,6,Active,1250
,VEL_STP_D700,700 mm,false,700mm Depth,VEL_STP_ChamberDepth,1,Active,700
,VEL_STP_D1000,1000 mm,true,1000mm Depth,VEL_STP_ChamberDepth,2,Active,1000
,VEL_STP_D1250,1250 mm,false,1250mm Depth,VEL_STP_ChamberDepth,3,Active,1250
,VEL_STP_D1400,1400 mm,false,1400mm Depth,VEL_STP_ChamberDepth,4,Active,1400
,VEL_STP_D1500,1500 mm,false,1500mm Depth,VEL_STP_ChamberDepth,5,Active,1500
,VEL_STP_D1750,1750 mm,false,1750mm Depth,VEL_STP_ChamberDepth,6,Active,1750
,VEL_STP_D2000,2000 mm,false,2000mm Depth,VEL_STP_ChamberDepth,7,Active,2000
,VEL_STP_D2500,2500 mm,false,2500mm Depth,VEL_STP_ChamberDepth,8,Active,2500
,VEL_STP_DOOR_H,Motorized Horizontal,true,Motorized Horizontal,VEL_STP_DoorType,1,Active,Motorized Horizontal
,VEL_STP_DOOR_V,Motorized Vertical,false,Motorized Vertical,VEL_STP_DoorType,2,Active,Motorized Vertical
,VEL_STP_DOOR_SA,Semi-Automatic Hinged,false,Semi-Automatic Hinged,VEL_STP_DoorType,3,Active,Semi-Automatic Hinged
