$$AttributeDefinition.Code$Product2.StockKeepingUnit,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,Product2.StockKeepingUnit,ProductClassificationAttribute.Name,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
ATTR-VEL-PKG-CFG;VEL-PACK-G1-BDL,VEL_PKG_SPECS,ATTR-VEL-PKG-CFG,,Standard,,,Picklist,,true,false,false,true,,,,,ATTR-VEL-PKG-CFG VEL-PACK-G1-BDL,VEL-PACK-G1-BDL,,10,Active,,,
ATTR-VEL-COMPLIANCE;VEL-PACK-G1-BDL,VEL_PKG_SPECS,ATTR-VEL-COMPLIANCE,,Standard,,,Picklist,,false,false,false,true,,,,,ATTR-VEL-COMPLIANCE VEL-PACK-G1-BDL,VEL-PACK-G1-BDL,,20,Active,,,
ATTR-VEL-CAPACITY;VEL-PACK-G1-BDL,VEL_PKG_SPECS,ATTR-VEL-CAPACITY,,,,,Text,,false,false,true,false,,,,,ATTR-VEL-CAPACITY VEL-PACK-G1-BDL,VEL-PACK-G1-BDL,,30,Active,,,blisters/yr
ATTR-VEL-SIZE;VEL-LSR-BDL,VEL_LSR_SPECS,ATTR-VEL-SIZE,,,,,Picklist,,false,false,false,true,,,,,ATTR-VEL-SIZE VEL-LSR-BDL,VEL-LSR-BDL,,10,Active,,,
ATTR-VEL-POWER;VEL-LSR-BDL,VEL_LSR_SPECS,ATTR-VEL-POWER,,,,,Picklist,,true,false,false,true,,,,,ATTR-VEL-POWER VEL-LSR-BDL,VEL-LSR-BDL,,20,Active,,,
ATTR-VEL-STP-WIDTH;VEL-STP-BDL,VEL_STP_SPECS,ATTR-VEL-STP-WIDTH,,800mm Width,,,Picklist,,false,false,false,true,,,,,VEL-STP-BDL Chamber Width,VEL-STP-BDL,VEL_STP_BDL Chamber Width,10,Active,,,
ATTR-VEL-STP-HEIGHT;VEL-STP-BDL,VEL_STP_SPECS,ATTR-VEL-STP-HEIGHT,,800mm Height,,,Picklist,,false,false,false,true,,,,,VEL-STP-BDL Chamber Height,VEL-STP-BDL,VEL_STP_BDL Chamber Height,20,Active,,,
ATTR-VEL-STP-DEPTH;VEL-STP-BDL,VEL_STP_SPECS,ATTR-VEL-STP-DEPTH,,1000mm Depth,,,Picklist,,false,false,false,true,,,,,VEL-STP-BDL Chamber Depth,VEL-STP-BDL,VEL_STP_BDL Chamber Depth,30,Active,,,
ATTR-VEL-STP-POWER;VEL-STP-BDL,VEL_STP_PROC_PARAMS,ATTR-VEL-STP-POWER,,400V 3-phase 50Hz (EU/INT),,,Picklist,,false,false,false,true,,,,,VEL-STP-BDL Power Supply,VEL-STP-BDL,VEL_STP_BDL Power Supply,60,Active,,,
ATTR-VEL-STP-DOOR-TYPE;VEL-STP-DOOR-H,VEL_STP_DOOR_CFG,ATTR-VEL-STP-DOOR-TYPE,,Motorized Horizontal,,,Picklist,,false,false,false,true,,,,,VEL-STP-DOOR-H Door Type,VEL-STP-DOOR-H,VEL_STP_DOOR_CLASS Door Type,10,Active,,,
