$$ProductCategory.Code$Product.StockKeepingUnit,Catalog.Code,IsPrimaryCategory,Product.StockKeepingUnit,ProductCategory.Code
VEL_CAT_PKG;VEL-PACK-G1-BDL,VEL,true,VEL-PACK-G1-BDL,VEL_CAT_PKG
VEL_CAT_LSR;VEL-LSR-BDL,VEL,true,VEL-LSR-BDL,VEL_CAT_LSR
VEL_CAT_SVC;VEL-SRV-INSTALL-PKG,VEL,true,VEL-SRV-INSTALL-PKG,VEL_CAT_SVC
VEL_CAT_SVC;VEL-SRV-MAINT-PKG,VEL,true,VEL-SRV-MAINT-PKG,VEL_CAT_SVC
VEL_CAT_SVC;VEL-SRV-MAINT-PKG-PREM,VEL,true,VEL-SRV-MAINT-PKG-PREM,VEL_CAT_SVC
VEL_CAT_SVC;VEL-SRV-WARRANTY-PKG,VEL,true,VEL-SRV-WARRANTY-PKG,VEL_CAT_SVC
VEL_CAT_SVC;VEL-SW-PACK-MGR,VEL,true,VEL-SW-PACK-MGR,VEL_CAT_SVC
VEL_CAT_SVC;VEL-SRV-INSTALL-LSR,VEL,true,VEL-SRV-INSTALL-LSR,VEL_CAT_SVC
VEL_CAT_SVC;VEL-SRV-MAINT-LSR,VEL,true,VEL-SRV-MAINT-LSR,VEL_CAT_SVC
VEL_CAT_SVC;VEL-SRV-WARRANTY-LSR,VEL,true,VEL-SRV-WARRANTY-LSR,VEL_CAT_SVC
VEL_CAT_SVC;VEL-SW-LSR-CAD,VEL,true,VEL-SW-LSR-CAD,VEL_CAT_SVC
VEL_CAT_SVC;VEL-SOFTWARE-NC,VEL,true,VEL-SOFTWARE-NC,VEL_CAT_SVC
VEL_CAT_STP;VEL-STP-BDL,VEL,true,VEL-STP-BDL,VEL_CAT_STP
VEL_CAT_SVC;VEL-SW-RMP,VEL,true,VEL-SW-RMP,VEL_CAT_SVC
