$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;VEL-PACK-G1-BASE;VEL-PACK-G1-BDL;PCG-VEL-PKG-BASE;Bundle to Bundle Component Relationship,VEL-PACK-G1-BASE,,BundleComponent,false,true,true,true,1,1,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-BASE,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-PACK-G1-TT;VEL-PACK-G1-BDL;PCG-VEL-PKG-TT;Bundle to Bundle Component Relationship,VEL-PACK-G1-TT,,BundleComponent,false,false,false,true,1,,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-TT,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-PACK-G1-TT-PRO;VEL-PACK-G1-BDL;PCG-VEL-PKG-TT;Bundle to Bundle Component Relationship,VEL-PACK-G1-TT-PRO,,BundleComponent,false,false,false,true,1,,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-TT,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-PACK-FILM;VEL-PACK-G1-BDL;PCG-VEL-PKG-FILM;Bundle to Bundle Component Relationship,VEL-PACK-FILM,,BundleComponent,false,false,false,true,1,,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-FILM,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-PACK-FILM-CF;VEL-PACK-G1-BDL;PCG-VEL-PKG-FILM;Bundle to Bundle Component Relationship,VEL-PACK-FILM-CF,,BundleComponent,false,false,false,true,1,,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-FILM,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-PACK-FILM-CR;VEL-PACK-G1-BDL;PCG-VEL-PKG-FILM;Bundle to Bundle Component Relationship,VEL-PACK-FILM-CR,,BundleComponent,false,false,false,true,1,,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-FILM,Bundle to Bundle Component Relationship,1,,Always,30,
;VEL-SRV-INSTALL-PKG;VEL-PACK-G1-BDL;PCG-VEL-PKG-SERVICES;Bundle to Bundle Component Relationship,VEL-SRV-INSTALL-PKG,,BundleComponent,false,false,false,true,1,,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-SERVICES,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-SRV-MAINT-PKG;VEL-PACK-G1-BDL;PCG-VEL-PKG-SERVICES;Bundle to Bundle Component Relationship,VEL-SRV-MAINT-PKG,,BundleComponent,false,false,false,true,1,,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-SERVICES,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-SRV-MAINT-PKG-PREM;VEL-PACK-G1-BDL;PCG-VEL-PKG-SERVICES;Bundle to Bundle Component Relationship,VEL-SRV-MAINT-PKG-PREM,,BundleComponent,false,false,false,true,1,,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-SERVICES,Bundle to Bundle Component Relationship,1,,Always,30,
;VEL-SRV-WARRANTY-PKG;VEL-PACK-G1-BDL;PCG-VEL-PKG-SERVICES;Bundle to Bundle Component Relationship,VEL-SRV-WARRANTY-PKG,,BundleComponent,false,false,false,true,1,,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-SERVICES,Bundle to Bundle Component Relationship,1,,Always,40,
