$$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.Name,ProductSellingModel.SellingModelType,ProrationPolicy.Name
VEL-PACK-G1-BDL;One-Time;OneTime,true,VEL-PACK-G1-BDL,One-Time,OneTime,
VEL-PACK-G1-BASE;One-Time;OneTime,true,VEL-PACK-G1-BASE,One-Time,OneTime,
VEL-PACK-G1-TT;One-Time;OneTime,true,VEL-PACK-G1-TT,One-Time,OneTime,
VEL-PACK-G1-TT-PRO;One-Time;OneTime,true,VEL-PACK-G1-TT-PRO,One-Time,OneTime,
VEL-PACK-FILM;Evergreen Monthly;Evergreen,true,VEL-PACK-FILM,Evergreen Monthly,Evergreen,Default Proration Policy
VEL-PACK-FILM;One-Time;OneTime,false,VEL-PACK-FILM,One-Time,OneTime,
VEL-PACK-FILM-CF;Evergreen Monthly;Evergreen,true,VEL-PACK-FILM-CF,Evergreen Monthly,Evergreen,Default Proration Policy
VEL-PACK-FILM-CR;Evergreen Monthly;Evergreen,true,VEL-PACK-FILM-CR,Evergreen Monthly,Evergreen,Default Proration Policy
VEL-SRV-INSTALL-PKG;One-Time;OneTime,true,VEL-SRV-INSTALL-PKG,One-Time,OneTime,
VEL-SRV-MAINT-PKG;Evergreen Monthly;Evergreen,true,VEL-SRV-MAINT-PKG,Evergreen Monthly,Evergreen,Default Proration Policy
VEL-SRV-MAINT-PKG;Term Annual;TermDefined,false,VEL-SRV-MAINT-PKG,Term Annual,TermDefined,Default Proration Policy
VEL-SRV-MAINT-PKG-PREM;Evergreen Monthly;Evergreen,true,VEL-SRV-MAINT-PKG-PREM,Evergreen Monthly,Evergreen,Default Proration Policy
VEL-SRV-MAINT-PKG-PREM;Term Annual;TermDefined,false,VEL-SRV-MAINT-PKG-PREM,Term Annual,TermDefined,Default Proration Policy
VEL-SRV-WARRANTY-PKG;Term Annual;TermDefined,true,VEL-SRV-WARRANTY-PKG,Term Annual,TermDefined,Default Proration Policy
