"AttributeNameOverride","DefaultValue","Description","DisplayType","HelpText","IsHidden","IsPriceImpacting","IsReadOnly","IsRequired","MaximumCharacterCount","MaximumValue","MinimumCharacterCount","MinimumValue","Name","Sequence","Status","StepValue","ValueDescription","Errors"
"#N/A","800mm Width","#N/A","Picklist","#N/A","false","false","false","true","#N/A","#N/A","#N/A","#N/A","VEL_STP_BDL Chamber Width","10","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
"#N/A","800mm Height","#N/A","Picklist","#N/A","false","false","false","true","#N/A","#N/A","#N/A","#N/A","VEL_STP_BDL Chamber Height","20","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
"#N/A","1000mm Depth","#N/A","Picklist","#N/A","false","false","false","true","#N/A","#N/A","#N/A","#N/A","VEL_STP_BDL Chamber Depth","30","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
"#N/A","Square","#N/A","Picklist","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","VEL_STP_BDL Chamber Section","40","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
"#N/A","#N/A","#N/A","Text","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","VEL_STP_BDL Chamber Volume","50","Active","#N/A","L","Required fields are missing: [ProductClassificationId, AttributeDefinitionId]"
"#N/A","400V 3-phase 50Hz (EU/INT)","#N/A","Picklist","#N/A","false","false","false","true","#N/A","#N/A","#N/A","#N/A","VEL_STP_BDL Power Supply","60","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
"#N/A","PED 2014/68/EU","#N/A","Picklist","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","VEL_STP_BDL Compliance Standard","70","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
"#N/A","121°C / 134°C","#N/A","Text","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","VEL_STP_BDL Sterilization Temperature","80","Active","#N/A","#N/A","Required fields are missing: [ProductClassificationId, AttributeDefinitionId]"
"#N/A","Motorized Horizontal","#N/A","Picklist","#N/A","false","false","false","true","#N/A","#N/A","#N/A","#N/A","VEL_STP_DOOR_CLASS Door Type","10","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
"#N/A","#N/A","#N/A","Picklist","#N/A","false","false","false","true","#N/A","#N/A","#N/A","#N/A","VEL_STP_DOOR_CLASS Door Width","20","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
"#N/A","#N/A","#N/A","Picklist","#N/A","false","false","false","true","#N/A","#N/A","#N/A","#N/A","VEL_STP_DOOR_CLASS Door Height","30","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
"#N/A","Side 1 (Loading)","#N/A","Picklist","#N/A","false","false","false","true","#N/A","#N/A","#N/A","#N/A","VEL_STP_DOOR_CLASS Installation Side","40","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
"#N/A","Single Door","#N/A","Picklist","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","VEL_STP_BDL STP Door Configuration","85","Active","#N/A","#N/A","Display Type: bad value for restricted picklist field: Picklist"
