$$CostBook.Name$Product.StockKeepingUnit$CurrencyIsoCode,Cost,CostBook.Name,CurrencyIsoCode,Description,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit
Standard Cost Book;VEL-PACK-G1-BDL;USD,164150.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-PACK-G1-BDL
Standard Cost Book;VEL-PACK-G1-BASE;USD,131250.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-PACK-G1-BASE
Standard Cost Book;VEL-PACK-G1-TT;USD,21560.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-PACK-G1-TT
Standard Cost Book;VEL-PACK-G1-TT-PRO;USD,30800.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-PACK-G1-TT-PRO
Standard Cost Book;VEL-PACK-FILM;USD,382.50,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-PACK-FILM
Standard Cost Book;VEL-PACK-FILM-CF;USD,552.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-PACK-FILM-CF
Standard Cost Book;VEL-PACK-FILM-CR;USD,450.80,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-PACK-FILM-CR
Standard Cost Book;VEL-SRV-INSTALL-PKG;USD,9375.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SRV-INSTALL-PKG
Standard Cost Book;VEL-SRV-MAINT-PKG;USD,1470.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SRV-MAINT-PKG
Standard Cost Book;VEL-SRV-MAINT-PKG-PREM;USD,2176.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SRV-MAINT-PKG-PREM
Standard Cost Book;VEL-SRV-WARRANTY-PKG;USD,6408.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SRV-WARRANTY-PKG
Standard Cost Book;VEL-SW-PACK-MGR;USD,74.75,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SW-PACK-MGR
Standard Cost Book;VEL-LSR-BDL;USD,123950.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-LSR-BDL
Standard Cost Book;VEL-LSR-1530;USD,76000.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-LSR-1530
Standard Cost Book;VEL-LSR-2040;USD,89700.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-LSR-2040
Standard Cost Book;VEL-LSR-2060;USD,111000.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-LSR-2060
Standard Cost Book;VEL-LSR-SRC-4KW;USD,26240.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-LSR-SRC-4KW
Standard Cost Book;VEL-LSR-SRC-10KW;USD,46400.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-LSR-SRC-10KW
Standard Cost Book;VEL-LSR-SRC-15KW;USD,63960.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-LSR-SRC-15KW
Standard Cost Book;VEL-LSR-AUTO-CS;USD,15925.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-LSR-AUTO-CS
Standard Cost Book;VEL-LSR-AUTO-LU;USD,26950.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-LSR-AUTO-LU
Standard Cost Book;VEL-LSR-AUTO-SORT;USD,14960.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-LSR-AUTO-SORT
Standard Cost Book;VEL-CUT-GAS;USD,180.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-CUT-GAS
Standard Cost Book;VEL-CUT-GAS-O2;USD,134.40,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-CUT-GAS-O2
Standard Cost Book;VEL-CUT-GAS-AIR;USD,63.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-CUT-GAS-AIR
Standard Cost Book;VEL-SRV-INSTALL-LSR;USD,12090.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SRV-INSTALL-LSR
Standard Cost Book;VEL-SRV-MAINT-LSR;USD,1260.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SRV-MAINT-LSR
Standard Cost Book;VEL-SRV-WARRANTY-LSR;USD,5184.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SRV-WARRANTY-LSR
Standard Cost Book;VEL-SW-LSR-CAD;USD,119.70,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SW-LSR-CAD
Standard Cost Book;VEL-SOFTWARE-NC;USD,32.78,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SOFTWARE-NC
Standard Cost Book;VEL-SW-RMP;USD,139.72,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-SW-RMP
Standard Cost Book;VEL-STP-BDL;USD,134400.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-BDL
Standard Cost Book;VEL-STP-CTRL;USD,41760.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-CTRL
Standard Cost Book;VEL-STP-CTRL-SW;USD,4140.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-CTRL-SW
Standard Cost Book;VEL-STP-CTRL-FMM;USD,6500.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-CTRL-FMM
Standard Cost Book;VEL-STP-DOOR-H;USD,7920.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-DOOR-H
