$$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
VEL-PACK-G1-BDL;One-Time;USD,USD,true,false,VEL-PACK-G1-BDL_Standard Price Book_One-Time_USD,Standard Price Book;true,VEL-PACK-G1-BDL,One-Time;OneTime,245000.00
VEL-PACK-G1-BASE;One-Time;USD,USD,true,false,VEL-PACK-G1-BASE_Standard Price Book_One-Time_USD,Standard Price Book;true,VEL-PACK-G1-BASE,One-Time;OneTime,175000.00
VEL-PACK-G1-TT;One-Time;USD,USD,true,false,VEL-PACK-G1-TT_Standard Price Book_One-Time_USD,Standard Price Book;true,VEL-PACK-G1-TT,One-Time;OneTime,24500.00
VEL-PACK-G1-TT-PRO;One-Time;USD,USD,true,false,VEL-PACK-G1-TT-PRO_Standard Price Book_One-Time_USD,Standard Price Book;true,VEL-PACK-G1-TT-PRO,One-Time;OneTime,38500.00
VEL-PACK-FILM;Evergreen Monthly;USD,USD,true,false,VEL-PACK-FILM_Standard Price Book_Evergreen Monthly_USD,Standard Price Book;true,VEL-PACK-FILM,Evergreen Monthly;Evergreen,850.00
VEL-PACK-FILM;One-Time;USD,USD,true,false,VEL-PACK-FILM_Standard Price Book_One-Time_USD,Standard Price Book;true,VEL-PACK-FILM,One-Time;OneTime,8500.00
VEL-PACK-FILM-CF;Evergreen Monthly;USD,USD,true,false,VEL-PACK-FILM-CF_Standard Price Book_Evergreen Monthly_USD,Standard Price Book;true,VEL-PACK-FILM-CF,Evergreen Monthly;Evergreen,1150.00
VEL-PACK-FILM-CR;Evergreen Monthly;USD,USD,true,false,VEL-PACK-FILM-CR_Standard Price Book_Evergreen Monthly_USD,Standard Price Book;true,VEL-PACK-FILM-CR,Evergreen Monthly;Evergreen,980.00
VEL-SRV-INSTALL-PKG;One-Time;USD,USD,true,false,VEL-SRV-INSTALL-PKG_Standard Price Book_One-Time_USD,Standard Price Book;true,VEL-SRV-INSTALL-PKG,One-Time;OneTime,12500.00
VEL-SRV-MAINT-PKG;Evergreen Monthly;USD,USD,true,false,VEL-SRV-MAINT-PKG_Standard Price Book_Evergreen Monthly_USD,Standard Price Book;true,VEL-SRV-MAINT-PKG,Evergreen Monthly;Evergreen,2100.00
VEL-SRV-MAINT-PKG;Term Annual;USD,USD,true,false,VEL-SRV-MAINT-PKG_Standard Price Book_Term Annual_USD,Standard Price Book;true,VEL-SRV-MAINT-PKG,Term Annual;TermDefined,22000.00
