"Id","Cost","CurrencyIsoCode","Description","EffectiveFrom","EffectiveTo","ProductId","CostBookId","Errors"
"22gg7000000As0jAAC","164150","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnaftAAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0kAAC","131250","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnafuAAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0lAAC","21560","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnafvAAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0mAAC","30800","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnafwAAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0nAAC","382.5","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnafxAAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0oAAC","552","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnafyAAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0pAAC","450.8","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnafzAAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0qAAC","9375","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnag0AAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0rAAC","1470","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnag1AAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0sAAC","2176","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnag2AAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0tAAC","6408","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnag3AAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0uAAC","74.75","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnag4AAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0vAAC","123950","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnag5AAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0wAAC","76000","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnag6AAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0xAAC","89700","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnag7AAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0yAAC","111000","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnag8AAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As0zAAC","26240","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnag9AAA","29gg70000000uQPAAY","#N/A"
"22gg7000000As10AAC","46400","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnagAAAQ","29gg70000000uQPAAY","#N/A"
"22gg7000000As11AAC","63960","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnagBAAQ","29gg70000000uQPAAY","#N/A"
"22gg7000000As12AAC","15925","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnagCAAQ","29gg70000000uQPAAY","#N/A"
"22gg7000000As13AAC","26950","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdBAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As14AAC","14960","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdCAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As15AAC","180","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnagDAAQ","29gg70000000uQPAAY","#N/A"
"22gg7000000As16AAC","134.4","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdDAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As17AAC","63","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdEAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As18AAC","12090","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnagEAAQ","29gg70000000uQPAAY","#N/A"
"22gg7000000As19AAC","1260","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnagFAAQ","29gg70000000uQPAAY","#N/A"
"22gg7000000As1AAAS","5184","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnagGAAQ","29gg70000000uQPAAY","#N/A"
"22gg7000000As1BAAS","119.7","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnagHAAQ","29gg70000000uQPAAY","#N/A"
"22gg7000000As1CAAS","32.78","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000hnagIAAQ","29gg70000000uQPAAY","#N/A"
"22gg7000000As1DAAS","139.72","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000piRf3AAE","29gg70000000uQPAAY","#N/A"
"22gg7000000As1EAAS","134400","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdFAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1FAAS","41760","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdGAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1GAAS","4140","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdHAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1HAAS","6500","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdIAAU","29gg70000000uQPAAY","#N/A"
